cluster,location,FID,IID,PHE,CHR,CHR_NUM,SNP1,SNP2,POS1,POS2,KB,NSNP,DENSITY,PHOM,PHET
Archbold,Archbold,ALD03,ALD03,-9,CM083940.1,3,SNP_3756448,SNP_3757142,54339254,55541438,1202.185,127,9.466,0.921,0.008
Archbold,Archbold,ALD03,ALD03,-9,CM083946.1,8,SNP_6728746,SNP_6730051,5458718,6906141,1447.424,363,3.987,0.961,0.017
Archbold,Archbold,ALD04,ALD04,-9,CM083937.1,1,SNP_261653,SNP_272820,24113780,25290351,1176.572,4685,0.251,1,0
Archbold,Archbold,ALD04,ALD04,-9,CM083937.1,1,SNP_320014,SNP_327630,30715044,31717050,1002.007,3299,0.304,0.998,0.002
Archbold,Archbold,ALD04,ALD04,-9,CM083937.1,1,SNP_577556,SNP_587749,58780368,59902731,1122.364,4605,0.244,0.998,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083937.1,1,SNP_805065,SNP_807921,83160616,84215607,1054.992,1231,0.857,0.998,0.002
Archbold,Archbold,ALD04,ALD04,-9,CM083937.1,1,SNP_921822,SNP_935162,95175609,96408657,1233.049,6242,0.198,0.998,0.002
Archbold,Archbold,ALD04,ALD04,-9,CM083938.1,1A,SNP_1525464,SNP_1543593,36026625,38143289,2116.665,7848,0.27,1,0
Archbold,Archbold,ALD04,ALD04,-9,CM083938.1,1A,SNP_1546315,SNP_1584548,38407769,42471837,4064.069,16738,0.243,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083938.1,1A,SNP_1584565,SNP_1615564,42472364,45512590,3040.227,13708,0.222,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083938.1,1A,SNP_1620825,SNP_1631795,46104713,47907102,1802.39,4453,0.405,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083938.1,1A,SNP_1632103,SNP_1647121,49260194,50967132,1706.939,6664,0.256,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083938.1,1A,SNP_1650205,SNP_1688187,51292029,55781635,4489.607,16540,0.271,1,0
Archbold,Archbold,ALD04,ALD04,-9,CM083938.1,1A,SNP_1688204,SNP_1705675,55782118,57531199,1749.082,7970,0.219,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083938.1,1A,SNP_1705887,SNP_1726205,57550512,60569734,3019.223,9167,0.329,0.998,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083939.1,2,SNP_2123219,SNP_2133251,19869542,20913068,1043.527,4530,0.23,0.998,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083939.1,2,SNP_2133259,SNP_2149239,20913672,22689107,1775.436,7342,0.242,0.999,0
Archbold,Archbold,ALD04,ALD04,-9,CM083939.1,2,SNP_2528774,SNP_2543474,84566849,85879595,1312.747,6449,0.204,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083939.1,2,SNP_2640628,SNP_2652685,95093088,97480005,2386.918,5026,0.475,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083939.1,2,SNP_3110281,SNP_3122882,144968835,146618969,1650.135,5336,0.309,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083940.1,3,SNP_4117482,SNP_4127933,93851307,95012618,1161.312,4618,0.251,0.998,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083940.1,3,SNP_4134116,SNP_4162755,95668739,98633790,2965.052,12398,0.239,0.999,0
Archbold,Archbold,ALD04,ALD04,-9,CM083940.1,3,SNP_4335321,SNP_4351056,118351832,119851710,1499.879,7222,0.208,0.998,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083941.1,4,SNP_4501268,SNP_4508322,7923993,8997333,1073.341,3028,0.354,0.998,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083941.1,4,SNP_4519800,SNP_4524980,12797691,14245698,1448.008,1784,0.812,0.998,0.002
Archbold,Archbold,ALD04,ALD04,-9,CM083941.1,4,SNP_4640704,SNP_4650547,27220730,28238044,1017.315,4091,0.249,0.998,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083943.1,5,SNP_5779197,SNP_5791576,52495414,53836932,1341.519,5511,0.243,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083945.1,7,SNP_6395681,SNP_6406282,9587421,10773701,1186.281,4836,0.245,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083946.1,8,SNP_6728703,SNP_6731350,5431715,7438441,2006.727,772,2.599,0.988,0.01
Archbold,Archbold,ALD04,ALD04,-9,CM083948.1,10,SNP_7265147,SNP_7276667,2042150,3181406,1139.257,5216,0.218,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083949.1,11,SNP_7489083,SNP_7501781,4856531,6051152,1194.622,5825,0.205,1,0
Archbold,Archbold,ALD04,ALD04,-9,CM083949.1,11,SNP_7512358,SNP_7528129,7023243,8846562,1823.32,6924,0.263,0.998,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083950.1,12,SNP_7772484,SNP_7785691,12021368,13445368,1424.001,5604,0.254,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083953.1,15,SNP_8360328,SNP_8370826,9703631,12524010,2820.38,4324,0.652,0.999,0.001
Archbold,Archbold,ALD04,ALD04,-9,CM083964.1,27,SNP_9416249,SNP_9427427,2789501,4244404,1454.904,4955,0.294,0.998,0.002
Archbold,Archbold,ALD04,ALD04,-9,CM083964.1,27,SNP_9431285,SNP_9441861,4799378,5823802,1024.425,4618,0.222,0.998,0.001
Archbold,Archbold,ALD05,ALD05,-9,CM083938.1,1A,SNP_1285621,SNP_1297621,10220472,11274878,1054.407,5376,0.196,0.998,0.002
Archbold,Archbold,ALD05,ALD05,-9,CM083939.1,2,SNP_2242429,SNP_2251962,47670298,48671580,1001.283,4369,0.229,0.997,0.002
Archbold,Archbold,ALD05,ALD05,-9,CM083939.1,2,SNP_2257777,SNP_2271588,49349405,50784738,1435.334,6037,0.238,0.997,0.002
Archbold,Archbold,ALD05,ALD05,-9,CM083940.1,3,SNP_3848483,SNP_3864099,65598846,67251167,1652.322,7170,0.23,0.999,0.001
Archbold,Archbold,ALD05,ALD05,-9,CM083943.1,5,SNP_5664234,SNP_5678565,38425763,39991297,1565.535,6150,0.255,0.997,0.002
Archbold,Archbold,ALD05,ALD05,-9,CM083943.1,5,SNP_5685216,SNP_5708318,40775185,43742052,2966.868,9528,0.311,0.999,0.001
Archbold,Archbold,ALD05,ALD05,-9,CM083943.1,5,SNP_5759882,SNP_5771659,50072784,51567688,1494.905,5139,0.291,0.998,0.001
Archbold,Archbold,ALD05,ALD05,-9,CM083943.1,5,SNP_5777379,SNP_5788931,52281638,53580307,1298.67,5214,0.249,0.998,0.002
Archbold,Archbold,ALD05,ALD05,-9,CM083945.1,7,SNP_6489600,SNP_6498525,20806343,21948821,1142.479,3863,0.296,0.999,0.001
Archbold,Archbold,ALD05,ALD05,-9,CM083945.1,7,SNP_6511068,SNP_6520604,23564661,24719495,1154.835,3983,0.29,0.999,0.001
Archbold,Archbold,ALD05,ALD05,-9,CM083952.1,14,SNP_8140840,SNP_8156672,6506579,8138876,1632.298,7046,0.232,0.998,0.001
Archbold,Archbold,ALD05,ALD05,-9,CM083958.1,21,SNP_8965789,SNP_8968888,2334005,3676535,1342.531,1147,1.17,0.997,0.001
Archbold,Archbold,ALD05,ALD05,-9,CM083958.1,21,SNP_9012466,SNP_9023788,7799580,9124043,1324.464,4994,0.265,0.998,0.002
Archbold,Archbold,ALD06,ALD06,-9,CM083938.1,1A,SNP_1836620,SNP_1841313,70353238,71978830,1625.593,1651,0.985,0.998,0.002
Archbold,Archbold,ALD06,ALD06,-9,CM083939.1,2,SNP_2298433,SNP_2315644,53644516,55452498,1807.983,7730,0.234,0.999,0.001
Archbold,Archbold,ALD06,ALD06,-9,CM083939.1,2,SNP_2591010,SNP_2600340,90002238,91129958,1127.721,4272,0.264,0.998,0.001
Archbold,Archbold,ALD06,ALD06,-9,CM083939.1,2,SNP_2600355,SNP_2610702,91130592,92235613,1105.022,4744,0.233,1,0
Archbold,Archbold,ALD06,ALD06,-9,CM083939.1,2,SNP_2650969,SNP_2652676,96271442,97478822,1207.381,549,2.199,0.991,0.009
Archbold,Archbold,ALD06,ALD06,-9,CM083939.1,2,SNP_3236955,SNP_3255294,159634179,161514861,1880.683,7970,0.236,0.998,0.001
Archbold,Archbold,ALD06,ALD06,-9,CM083940.1,3,SNP_3749993,SNP_3762280,53568485,56104351,2535.867,5344,0.475,0.998,0.001
Archbold,Archbold,ALD06,ALD06,-9,CM083940.1,3,SNP_3912082,SNP_3927577,72437555,73910441,1472.887,6651,0.221,0.999,0.001
Archbold,Archbold,ALD06,ALD06,-9,CM083941.1,4,SNP_4710280,SNP_4724787,34674361,36055358,1380.998,6641,0.208,0.999,0
Archbold,Archbold,ALD06,ALD06,-9,CM083943.1,5,SNP_5553380,SNP_5571731,25597544,27441206,1843.663,8115,0.227,0.999,0.001
Archbold,Archbold,ALD06,ALD06,-9,CM083946.1,8,SNP_6835171,SNP_6845713,19344793,20439953,1095.161,4564,0.24,0.998,0.001
Archbold,Archbold,ALD06,ALD06,-9,CM083947.1,9,SNP_7072344,SNP_7095223,9225738,12622237,3396.5,9472,0.359,0.999,0.001
Archbold,Archbold,ALD06,ALD06,-9,CM083947.1,9,SNP_7125283,SNP_7135366,15953931,17005062,1051.132,4507,0.233,1,0
Archbold,Archbold,ALD06,ALD06,-9,CM083955.1,18,SNP_8543024,SNP_8554898,2005307,3520902,1515.596,5193,0.292,1,0
Archbold,Archbold,ALD06,ALD06,-9,CM083955.1,18,SNP_8554906,SNP_8559409,3521097,5118662,1597.566,1678,0.952,0.998,0.002
Archbold,Archbold,ALD08,ALD08,-9,CM083938.1,1A,SNP_1631274,SNP_1632477,47456981,49376141,1919.161,305,6.292,0.925,0.016
Archbold,Archbold,ALD09,ALD09,-9,CM083937.1,1,SNP_1014317,SNP_1022556,104597349,106357791,1760.443,3444,0.511,0.998,0.002
Archbold,Archbold,ALD09,ALD09,-9,CM083938.1,1A,SNP_1631337,SNP_1633015,47475630,49477811,2002.182,496,4.037,0.994,0.006
Archbold,Archbold,ALD09,ALD09,-9,CM083940.1,3,SNP_3756523,SNP_3757117,54342366,55536238,1193.873,111,10.756,0.982,0.018
Archbold,Archbold,ALD09,ALD09,-9,CM083940.1,3,SNP_4099911,SNP_4111383,91986985,93189374,1202.39,5183,0.232,0.996,0.004
Archbold,Archbold,ALD09,ALD09,-9,CM083941.1,4,SNP_4514951,SNP_4519450,9993797,11495919,1502.123,1575,0.954,0.992,0.007
Archbold,Archbold,ALD09,ALD09,-9,CM083960.1,23,SNP_9117320,SNP_9125130,2542585,4480847,1938.263,3173,0.611,0.995,0.005
Archbold,Archbold,ALD10,ALD10,-9,CM083938.1,1A,SNP_1631599,SNP_1632477,47547733,49376141,1828.409,187,9.778,0.941,0.016
Archbold,Archbold,ALD11,ALD11,-9,CM083938.1,1A,SNP_1631337,SNP_1632034,47475630,48991843,1516.214,136,11.149,0.993,0
Archbold,Archbold,ALD11,ALD11,-9,CM083938.1,1A,SNP_1838344,SNP_1841313,70730168,71978830,1248.663,990,1.261,0.993,0.007
Archbold,Archbold,ALD11,ALD11,-9,CM083946.1,8,SNP_6728467,SNP_6729814,5332088,6784397,1452.31,391,3.714,0.987,0.01
Archbold,Archbold,ALD12,ALD12,-9,CM083937.1,1,SNP_510118,SNP_522549,50713053,52002701,1289.649,5578,0.231,0.994,0.005
Archbold,Archbold,ALD12,ALD12,-9,CM083938.1,1A,SNP_1836522,SNP_1841313,70331063,71978830,1647.768,1681,0.98,0.996,0.004
Archbold,Archbold,ALD12,ALD12,-9,CM083939.1,2,SNP_2648711,SNP_2652972,95966678,97500140,1533.463,1604,0.956,0.997,0.003
Archbold,Archbold,ALD12,ALD12,-9,CM083946.1,8,SNP_6728194,SNP_6729990,5215435,6882056,1666.622,530,3.145,0.989,0.008
Archbold,Archbold,ALD12,ALD12,-9,CM083948.1,10,SNP_7398682,SNP_7404687,15133199,16196946,1063.748,2498,0.426,0.998,0.002
Archbold,Archbold,ALD13,ALD13,-9,CM083937.1,1,SNP_576079,SNP_585059,58437922,59616631,1178.71,3986,0.296,0.993,0.006
Archbold,Archbold,ALD13,ALD13,-9,CM083938.1,1A,SNP_1834382,SNP_1841313,70043370,71978830,1935.461,2557,0.757,0.995,0.005
Archbold,Archbold,ALD13,ALD13,-9,CM083960.1,23,SNP_9119608,SNP_9123676,3118127,4359004,1240.878,1659,0.748,0.993,0.005
Archbold,Archbold,ALD14,ALD14,-9,CM083938.1,1A,SNP_1836522,SNP_1841313,70331063,71978830,1647.768,1681,0.98,0.993,0.007
Archbold,Archbold,ALD14,ALD14,-9,CM083939.1,2,SNP_2647015,SNP_2654767,95803692,97713546,1909.855,3161,0.604,0.993,0.005
Archbold,Archbold,ALD14,ALD14,-9,CM083953.1,15,SNP_8364620,SNP_8365626,10628225,11750466,1122.242,335,3.35,0.985,0.015
Archbold,Archbold,ALD15,ALD15,-9,CM083939.1,2,SNP_2650976,SNP_2652676,96273653,97478822,1205.17,546,2.207,0.985,0.013
Archbold,Archbold,ALD15,ALD15,-9,CM083953.1,15,SNP_8364892,SNP_8365744,10745312,11785833,1040.522,281,3.703,0.979,0.018
Archbold,Archbold,ALD15,ALD15,-9,CM083958.1,21,SNP_8965696,SNP_8968866,2323415,3669135,1345.721,1181,1.139,0.989,0.008
Archbold,Archbold,ALD16,ALD16,-9,CM083937.1,1,SNP_1016051,SNP_1022556,104952973,106357791,1404.819,2759,0.509,0.996,0.003
Archbold,Archbold,ALD16,ALD16,-9,CM083940.1,3,SNP_3327153,SNP_3327819,3832,1702846,1699.015,158,10.753,0.968,0.019
Archbold,Archbold,ALD16,ALD16,-9,CM083940.1,3,SNP_3756523,SNP_3757129,54342366,55538683,1196.318,116,10.313,0.966,0.017
Archbold,Archbold,ALD16,ALD16,-9,CM083960.1,23,SNP_9117630,SNP_9121607,2596987,4102430,1505.444,1470,1.024,0.991,0.008
Archbold,Archbold,ALD17,ALD17,-9,CM083940.1,3,SNP_3756148,SNP_3757086,54297169,55530449,1233.281,227,5.433,0.925,0.013
Archbold,Archbold,ALD17,ALD17,-9,CM083942.1,4A,SNP_5219873,SNP_5220683,7929072,8955584,1026.513,291,3.528,0.966,0.01
Archbold,Archbold,ALD17,ALD17,-9,CM083946.1,8,SNP_6729298,SNP_6730300,5820359,7045486,1225.128,272,4.504,0.941,0.015
Archbold,Archbold,ALD18,ALD18,-9,CM083937.1,1,SNP_829394,SNP_840741,86400812,87471662,1070.851,5048,0.212,0.999,0.001
Archbold,Archbold,ALD18,ALD18,-9,CM083938.1,1A,SNP_1659437,SNP_1669732,52393985,53608217,1214.233,4480,0.271,1,0
Archbold,Archbold,ALD18,ALD18,-9,CM083938.1,1A,SNP_1707056,SNP_1716104,57661572,59562685,1901.114,4085,0.465,0.999,0.001
Archbold,Archbold,ALD18,ALD18,-9,CM083939.1,2,SNP_2641127,SNP_2654767,95154915,97713546,2558.632,5750,0.445,0.999,0.001
Archbold,Archbold,ALD18,ALD18,-9,CM083939.1,2,SNP_2893159,SNP_2899628,121796848,123054127,1257.28,2616,0.481,0.997,0.001
Archbold,Archbold,ALD18,ALD18,-9,CM083940.1,3,SNP_3756099,SNP_3756961,54287912,55510925,1223.014,199,6.146,0.985,0.015
Archbold,Archbold,ALD18,ALD18,-9,CM083941.1,4,SNP_4917635,SNP_4927825,58194604,59251133,1056.53,4420,0.239,1,0
Archbold,Archbold,ALD18,ALD18,-9,CM083943.1,5,SNP_5809431,SNP_5821085,55820754,57021914,1201.161,5198,0.231,1,0
Archbold,Archbold,ALD18,ALD18,-9,CM083945.1,7,SNP_6461001,SNP_6473840,17049388,18603328,1553.941,5649,0.275,0.999,0.001
Archbold,Archbold,ALD18,ALD18,-9,CM083948.1,10,SNP_7400378,SNP_7408900,15366899,18039865,2672.967,2981,0.897,0.999,0.001
Archbold,Archbold,ALD18,ALD18,-9,CM083949.1,11,SNP_7436870,SNP_7444125,85230,1231861,1146.632,2846,0.403,0.999,0.001
Archbold,Archbold,ALD18,ALD18,-9,CM083952.1,14,SNP_8141595,SNP_8160934,6568955,8557517,1988.563,8526,0.233,0.999,0
Archbold,Archbold,ALD19,ALD19,-9,CM083937.1,1,SNP_398394,SNP_417661,39542246,41776449,2234.204,8384,0.266,0.999,0
Archbold,Archbold,ALD19,ALD19,-9,CM083937.1,1,SNP_939188,SNP_960404,96766129,98855178,2089.05,9703,0.215,0.999,0.001
Archbold,Archbold,ALD19,ALD19,-9,CM083938.1,1A,SNP_1675318,SNP_1687975,54226912,55610755,1383.844,5730,0.242,1,0
Archbold,Archbold,ALD19,ALD19,-9,CM083938.1,1A,SNP_1688203,SNP_1705661,55782108,57529688,1747.581,7964,0.219,0.999,0
Archbold,Archbold,ALD19,ALD19,-9,CM083938.1,1A,SNP_1829473,SNP_1841313,69480127,71978830,2498.704,4740,0.527,0.998,0.002
Archbold,Archbold,ALD19,ALD19,-9,CM083938.1,1A,SNP_1841321,SNP_1855614,73172281,75792671,2620.391,5914,0.443,0.999,0
Archbold,Archbold,ALD19,ALD19,-9,CM083939.1,2,SNP_2384370,SNP_2386724,64374229,65814554,1440.326,605,2.381,0.998,0.002
Archbold,Archbold,ALD19,ALD19,-9,CM083939.1,2,SNP_2386758,SNP_2390759,67164436,68904343,1739.908,1062,1.638,0.997,0.003
Archbold,Archbold,ALD19,ALD19,-9,CM083939.1,2,SNP_2645215,SNP_2654767,95639029,97713546,2074.518,3999,0.519,1,0
Archbold,Archbold,ALD19,ALD19,-9,CM083939.1,2,SNP_2654777,SNP_2665494,97714172,98777596,1063.425,4715,0.226,0.998,0.001
Archbold,Archbold,ALD19,ALD19,-9,CM083940.1,3,SNP_3756099,SNP_3756961,54287912,55510925,1223.014,199,6.146,0.99,0.01
Archbold,Archbold,ALD19,ALD19,-9,CM083941.1,4,SNP_4422421,SNP_4429025,12998,1220494,1207.497,2950,0.409,0.999,0.001
Archbold,Archbold,ALD19,ALD19,-9,CM083941.1,4,SNP_4495807,SNP_4508327,7328213,8997599,1669.387,5385,0.31,0.998,0.001
Archbold,Archbold,ALD19,ALD19,-9,CM083941.1,4,SNP_4514032,SNP_4518313,9840007,11030310,1190.304,1561,0.763,0.999,0.001
Archbold,Archbold,ALD19,ALD19,-9,CM083941.1,4,SNP_4520993,SNP_4538114,13283957,16309517,3025.561,7045,0.429,1,0
Archbold,Archbold,ALD19,ALD19,-9,CM083941.1,4,SNP_4812856,SNP_4821888,46059518,47176097,1116.58,3896,0.287,0.999,0.001
Archbold,Archbold,ALD19,ALD19,-9,CM083946.1,8,SNP_6684399,SNP_6696686,275146,2125981,1850.836,5298,0.349,0.999,0.001
Archbold,Archbold,ALD19,ALD19,-9,CM083946.1,8,SNP_6831544,SNP_6842347,18964963,20104912,1139.95,4719,0.242,0.999,0.001
Archbold,Archbold,ALD19,ALD19,-9,CM083950.1,12,SNP_7717704,SNP_7728268,6228865,7358858,1129.994,4714,0.24,0.998,0.001
Archbold,Archbold,ALD20,ALD20,-9,CM083937.1,1,SNP_321067,SNP_335356,30861537,32619071,1757.535,6167,0.285,0.996,0.004
Archbold,Archbold,ALD20,ALD20,-9,CM083937.1,1,SNP_488921,SNP_500703,48437145,49729281,1292.137,5378,0.24,0.997,0.003
Archbold,Archbold,ALD20,ALD20,-9,CM083938.1,1A,SNP_1447797,SNP_1459089,27189390,28462776,1273.387,4987,0.255,0.998,0.002
Archbold,Archbold,ALD20,ALD20,-9,CM083938.1,1A,SNP_1467408,SNP_1492480,29314431,32344581,3030.151,11242,0.27,0.998,0.002
Archbold,Archbold,ALD20,ALD20,-9,CM083938.1,1A,SNP_1498549,SNP_1514514,33016008,34812620,1796.613,6894,0.261,0.998,0.002
Archbold,Archbold,ALD20,ALD20,-9,CM083938.1,1A,SNP_1514524,SNP_1552251,34813143,39057695,4244.553,16694,0.254,0.997,0.003
Archbold,Archbold,ALD20,ALD20,-9,CM083938.1,1A,SNP_1630836,SNP_1633015,47365481,49477811,2112.331,666,3.172,0.995,0.005
Archbold,Archbold,ALD20,ALD20,-9,CM083939.1,2,SNP_2385101,SNP_2386724,64575034,65814554,1239.521,378,3.279,0.992,0.008
Archbold,Archbold,ALD20,ALD20,-9,CM083939.1,2,SNP_2650976,SNP_2653140,96273653,97517490,1243.838,735,1.692,0.99,0.01
Archbold,Archbold,ALD20,ALD20,-9,CM083940.1,3,SNP_3755906,SNP_3757918,54263335,55655032,1391.698,695,2.002,0.993,0.007
Archbold,Archbold,ALD20,ALD20,-9,CM083940.1,3,SNP_4248979,SNP_4264433,108662033,110529242,1867.21,6619,0.282,0.997,0.003
Archbold,Archbold,ALD20,ALD20,-9,CM083941.1,4,SNP_4863842,SNP_4878161,51777095,53547076,1769.982,5975,0.296,0.996,0.004
Archbold,Archbold,ALD20,ALD20,-9,CM083941.1,4,SNP_5033426,SNP_5042894,70619548,71629362,1009.815,4189,0.241,0.997,0.003
Archbold,Archbold,ALD20,ALD20,-9,CM083945.1,7,SNP_6444971,SNP_6462218,15183398,17199447,2016.05,7600,0.265,0.996,0.004
Archbold,Archbold,ALD20,ALD20,-9,CM083948.1,10,SNP_7403746,SNP_7410288,16013691,18578323,2564.633,2017,1.272,0.997,0.003
Archbold,Archbold,ALD20,ALD20,-9,CM083953.1,15,SNP_8363096,SNP_8365625,10149576,11750439,1600.864,897,1.785,0.994,0.006
Archbold,Archbold,ALD20,ALD20,-9,CM083954.1,17,SNP_8511373,SNP_8519282,9541730,10585534,1043.805,3318,0.315,0.996,0.003
Archbold,Archbold,ALD21,ALD21,-9,CM083937.1,1,SNP_232265,SNP_242262,21251902,22286624,1034.723,4189,0.247,0.999,0.001
Archbold,Archbold,ALD21,ALD21,-9,CM083937.1,1,SNP_251191,SNP_262118,23149036,24152334,1003.299,4534,0.221,0.999,0.001
Archbold,Archbold,ALD21,ALD21,-9,CM083937.1,1,SNP_524109,SNP_535076,52163822,53354833,1191.012,4881,0.244,0.999,0.001
Archbold,Archbold,ALD21,ALD21,-9,CM083938.1,1A,SNP_1621206,SNP_1631695,46158605,47572670,1414.066,4297,0.329,1,0
Archbold,Archbold,ALD21,ALD21,-9,CM083938.1,1A,SNP_1688203,SNP_1698951,55782108,56854142,1072.035,4926,0.218,0.999,0.001
Archbold,Archbold,ALD21,ALD21,-9,CM083938.1,1A,SNP_1710531,SNP_1717821,57987870,59724992,1737.123,3188,0.545,0.999,0.001
Archbold,Archbold,ALD21,ALD21,-9,CM083939.1,2,SNP_2380060,SNP_2381671,62903710,63975284,1071.575,541,1.981,1,0
Archbold,Archbold,ALD21,ALD21,-9,CM083939.1,2,SNP_2533792,SNP_2548709,85006461,86322576,1316.116,6612,0.199,0.999,0
Archbold,Archbold,ALD21,ALD21,-9,CM083939.1,2,SNP_2548715,SNP_2572558,86322813,88386240,2063.428,10969,0.188,1,0
Archbold,Archbold,ALD21,ALD21,-9,CM083939.1,2,SNP_2607095,SNP_2621959,91852157,93237438,1385.282,6678,0.207,0.997,0.001
Archbold,Archbold,ALD21,ALD21,-9,CM083939.1,2,SNP_2633775,SNP_2651232,94407706,96703096,2295.391,7568,0.303,0.999,0.001
Archbold,Archbold,ALD21,ALD21,-9,CM083940.1,3,SNP_3406246,SNP_3421067,13642450,15159150,1516.701,6856,0.221,1,0
Archbold,Archbold,ALD21,ALD21,-9,CM083940.1,3,SNP_3421162,SNP_3424024,15210288,16728359,1518.072,1202,1.263,0.998,0.002
Archbold,Archbold,ALD21,ALD21,-9,CM083940.1,3,SNP_3848483,SNP_3861695,65598846,67030706,1431.861,5986,0.239,1,0
