Chr1	CM083937.1
HiC_scaffold_94	JBGGOT010000075.1
HiC_scaffold_95	JBGGOT010000076.1
HiC_scaffold_97	JBGGOT010000077.1
HiC_scaffold_99	JBGGOT010000078.1
HiC_scaffold_100	JBGGOT010000079.1
HiC_scaffold_101	JBGGOT010000080.1
HiC_scaffold_102	JBGGOT010000081.1
HiC_scaffold_103	JBGGOT010000082.1
HiC_scaffold_105	JBGGOT010000083.1
HiC_scaffold_107	JBGGOT010000084.1
HiC_scaffold_109	JBGGOT010000085.1
HiC_scaffold_111	JBGGOT010000086.1
HiC_scaffold_112	JBGGOT010000087.1
HiC_scaffold_113	JBGGOT010000088.1
HiC_scaffold_114	JBGGOT010000089.1
HiC_scaffold_116	JBGGOT010000090.1
HiC_scaffold_117	JBGGOT010000091.1
HiC_scaffold_118	JBGGOT010000092.1
HiC_scaffold_119	JBGGOT010000093.1
HiC_scaffold_120	JBGGOT010000094.1
HiC_scaffold_121	JBGGOT010000095.1
HiC_scaffold_123	JBGGOT010000096.1
HiC_scaffold_125	JBGGOT010000097.1
HiC_scaffold_126	JBGGOT010000098.1
HiC_scaffold_128	JBGGOT010000099.1
HiC_scaffold_130	JBGGOT010000100.1
HiC_scaffold_131	JBGGOT010000101.1
HiC_scaffold_132	JBGGOT010000102.1
HiC_scaffold_133	JBGGOT010000103.1
HiC_scaffold_134	JBGGOT010000104.1
HiC_scaffold_135	JBGGOT010000105.1
HiC_scaffold_137	JBGGOT010000106.1
HiC_scaffold_138	JBGGOT010000107.1
HiC_scaffold_140	JBGGOT010000108.1
HiC_scaffold_142	JBGGOT010000109.1
HiC_scaffold_143	JBGGOT010000110.1
HiC_scaffold_145	JBGGOT010000111.1
HiC_scaffold_146	JBGGOT010000112.1
HiC_scaffold_147	JBGGOT010000113.1
HiC_scaffold_148	JBGGOT010000114.1
HiC_scaffold_149	JBGGOT010000115.1
HiC_scaffold_150	JBGGOT010000116.1
HiC_scaffold_151	JBGGOT010000117.1
HiC_scaffold_152	JBGGOT010000118.1
HiC_scaffold_154	JBGGOT010000119.1
HiC_scaffold_156	JBGGOT010000120.1
HiC_scaffold_157	JBGGOT010000121.1
HiC_scaffold_158	JBGGOT010000122.1
HiC_scaffold_159	JBGGOT010000123.1
HiC_scaffold_160	JBGGOT010000124.1
HiC_scaffold_161	JBGGOT010000125.1
HiC_scaffold_162	JBGGOT010000126.1
HiC_scaffold_163	JBGGOT010000127.1
HiC_scaffold_164	JBGGOT010000128.1
HiC_scaffold_165	JBGGOT010000129.1
HiC_scaffold_166	JBGGOT010000130.1
HiC_scaffold_167	JBGGOT010000131.1
HiC_scaffold_168	JBGGOT010000132.1
HiC_scaffold_169	JBGGOT010000133.1
HiC_scaffold_170	JBGGOT010000134.1
HiC_scaffold_171	JBGGOT010000135.1
HiC_scaffold_172	JBGGOT010000136.1
HiC_scaffold_173	JBGGOT010000137.1
HiC_scaffold_174	JBGGOT010000138.1
HiC_scaffold_175	JBGGOT010000139.1
HiC_scaffold_176	JBGGOT010000140.1
HiC_scaffold_177	JBGGOT010000141.1
HiC_scaffold_178	JBGGOT010000142.1
HiC_scaffold_179	JBGGOT010000143.1
HiC_scaffold_180	JBGGOT010000144.1
HiC_scaffold_181	JBGGOT010000145.1
HiC_scaffold_182	JBGGOT010000146.1
HiC_scaffold_183	JBGGOT010000147.1
HiC_scaffold_184	JBGGOT010000148.1
HiC_scaffold_185	JBGGOT010000149.1
HiC_scaffold_186	JBGGOT010000150.1
HiC_scaffold_187	JBGGOT010000151.1
HiC_scaffold_188	JBGGOT010000152.1
HiC_scaffold_189	JBGGOT010000153.1
HiC_scaffold_190	JBGGOT010000154.1
HiC_scaffold_191	JBGGOT010000155.1
HiC_scaffold_192	JBGGOT010000156.1
HiC_scaffold_193	JBGGOT010000157.1
HiC_scaffold_196	JBGGOT010000158.1
HiC_scaffold_197	JBGGOT010000159.1
HiC_scaffold_198	JBGGOT010000160.1
HiC_scaffold_199	JBGGOT010000161.1
HiC_scaffold_200	JBGGOT010000162.1
HiC_scaffold_201	JBGGOT010000163.1
HiC_scaffold_202	JBGGOT010000164.1
HiC_scaffold_203	JBGGOT010000165.1
HiC_scaffold_204	JBGGOT010000166.1
HiC_scaffold_205	JBGGOT010000167.1
HiC_scaffold_206	JBGGOT010000168.1
HiC_scaffold_207	JBGGOT010000169.1
HiC_scaffold_208	JBGGOT010000170.1
HiC_scaffold_209	JBGGOT010000171.1
HiC_scaffold_210	JBGGOT010000172.1
HiC_scaffold_211	JBGGOT010000173.1
HiC_scaffold_212	JBGGOT010000174.1
HiC_scaffold_213	JBGGOT010000175.1
HiC_scaffold_214	JBGGOT010000176.1
HiC_scaffold_215	JBGGOT010000177.1
HiC_scaffold_216	JBGGOT010000178.1
HiC_scaffold_217	JBGGOT010000179.1
HiC_scaffold_218	JBGGOT010000180.1
HiC_scaffold_219	JBGGOT010000181.1
HiC_scaffold_220	JBGGOT010000182.1
HiC_scaffold_221	JBGGOT010000183.1
HiC_scaffold_222	JBGGOT010000184.1
HiC_scaffold_223	JBGGOT010000185.1
HiC_scaffold_224	JBGGOT010000186.1
HiC_scaffold_225	JBGGOT010000187.1
HiC_scaffold_226	JBGGOT010000188.1
HiC_scaffold_227	JBGGOT010000189.1
HiC_scaffold_228	JBGGOT010000190.1
HiC_scaffold_229	JBGGOT010000191.1
HiC_scaffold_230	JBGGOT010000192.1
HiC_scaffold_231	JBGGOT010000193.1
HiC_scaffold_232	JBGGOT010000194.1
HiC_scaffold_233	JBGGOT010000195.1
HiC_scaffold_235	JBGGOT010000196.1
HiC_scaffold_236	JBGGOT010000197.1
HiC_scaffold_237	JBGGOT010000198.1
HiC_scaffold_238	JBGGOT010000199.1
HiC_scaffold_239	JBGGOT010000200.1
HiC_scaffold_240	JBGGOT010000201.1
HiC_scaffold_241	JBGGOT010000202.1
HiC_scaffold_242	JBGGOT010000203.1
HiC_scaffold_243	JBGGOT010000204.1
HiC_scaffold_244	JBGGOT010000205.1
HiC_scaffold_245	JBGGOT010000206.1
HiC_scaffold_247	JBGGOT010000207.1
HiC_scaffold_248	JBGGOT010000208.1
HiC_scaffold_249	JBGGOT010000209.1
HiC_scaffold_250	JBGGOT010000210.1
HiC_scaffold_251	JBGGOT010000211.1
HiC_scaffold_252	JBGGOT010000212.1
HiC_scaffold_253	JBGGOT010000213.1
HiC_scaffold_254	JBGGOT010000214.1
HiC_scaffold_255	JBGGOT010000215.1
HiC_scaffold_256	JBGGOT010000216.1
HiC_scaffold_257	JBGGOT010000217.1
HiC_scaffold_258	JBGGOT010000218.1
HiC_scaffold_259	JBGGOT010000219.1
HiC_scaffold_260	JBGGOT010000220.1
HiC_scaffold_261	JBGGOT010000221.1
HiC_scaffold_262	JBGGOT010000222.1
HiC_scaffold_263	JBGGOT010000223.1
HiC_scaffold_264	JBGGOT010000224.1
HiC_scaffold_265	JBGGOT010000225.1
HiC_scaffold_266	JBGGOT010000226.1
HiC_scaffold_267	JBGGOT010000227.1
HiC_scaffold_268	JBGGOT010000228.1
HiC_scaffold_269	JBGGOT010000229.1
HiC_scaffold_270	JBGGOT010000230.1
HiC_scaffold_271	JBGGOT010000231.1
HiC_scaffold_272	JBGGOT010000232.1
HiC_scaffold_273	JBGGOT010000233.1
HiC_scaffold_274	JBGGOT010000234.1
HiC_scaffold_275	JBGGOT010000235.1
HiC_scaffold_276	JBGGOT010000236.1
HiC_scaffold_277	JBGGOT010000237.1
HiC_scaffold_278	JBGGOT010000238.1
HiC_scaffold_279	JBGGOT010000239.1
HiC_scaffold_280	JBGGOT010000240.1
HiC_scaffold_281	JBGGOT010000241.1
HiC_scaffold_282	JBGGOT010000242.1
HiC_scaffold_283	JBGGOT010000243.1
HiC_scaffold_284	JBGGOT010000244.1
HiC_scaffold_285	JBGGOT010000245.1
HiC_scaffold_286	JBGGOT010000246.1
HiC_scaffold_287	JBGGOT010000247.1
HiC_scaffold_288	JBGGOT010000248.1
HiC_scaffold_289	JBGGOT010000249.1
HiC_scaffold_290	JBGGOT010000250.1
HiC_scaffold_291	JBGGOT010000251.1
HiC_scaffold_292	JBGGOT010000252.1
HiC_scaffold_293	JBGGOT010000253.1
HiC_scaffold_294	JBGGOT010000254.1
HiC_scaffold_295	JBGGOT010000255.1
HiC_scaffold_296	JBGGOT010000256.1
HiC_scaffold_297	JBGGOT010000257.1
HiC_scaffold_298	JBGGOT010000258.1
HiC_scaffold_299	JBGGOT010000259.1
HiC_scaffold_300	JBGGOT010000260.1
HiC_scaffold_301	JBGGOT010000261.1
HiC_scaffold_302	JBGGOT010000262.1
HiC_scaffold_303	JBGGOT010000263.1
HiC_scaffold_304	JBGGOT010000264.1
HiC_scaffold_305	JBGGOT010000265.1
HiC_scaffold_306	JBGGOT010000266.1
HiC_scaffold_307	JBGGOT010000267.1
HiC_scaffold_308	JBGGOT010000268.1
HiC_scaffold_309	JBGGOT010000269.1
HiC_scaffold_310	JBGGOT010000270.1
HiC_scaffold_311	JBGGOT010000271.1
HiC_scaffold_312	JBGGOT010000272.1
HiC_scaffold_313	JBGGOT010000273.1
HiC_scaffold_314	JBGGOT010000274.1
HiC_scaffold_315	JBGGOT010000275.1
HiC_scaffold_316	JBGGOT010000276.1
HiC_scaffold_317	JBGGOT010000277.1
HiC_scaffold_318	JBGGOT010000278.1
HiC_scaffold_319	JBGGOT010000279.1
HiC_scaffold_320	JBGGOT010000280.1
HiC_scaffold_321	JBGGOT010000281.1
HiC_scaffold_322	JBGGOT010000282.1
HiC_scaffold_323	JBGGOT010000283.1
HiC_scaffold_324	JBGGOT010000284.1
HiC_scaffold_325	JBGGOT010000285.1
HiC_scaffold_326	JBGGOT010000286.1
HiC_scaffold_327	JBGGOT010000287.1
HiC_scaffold_328	JBGGOT010000288.1
HiC_scaffold_329	JBGGOT010000289.1
HiC_scaffold_330	JBGGOT010000290.1
HiC_scaffold_331	JBGGOT010000291.1
HiC_scaffold_332	JBGGOT010000292.1
HiC_scaffold_334	JBGGOT010000293.1
HiC_scaffold_335	JBGGOT010000294.1
HiC_scaffold_336	JBGGOT010000295.1
HiC_scaffold_337	JBGGOT010000296.1
HiC_scaffold_338	JBGGOT010000297.1
HiC_scaffold_339	JBGGOT010000298.1
HiC_scaffold_340	JBGGOT010000299.1
HiC_scaffold_341	JBGGOT010000300.1
HiC_scaffold_342	JBGGOT010000301.1
HiC_scaffold_343	JBGGOT010000302.1
HiC_scaffold_344	JBGGOT010000303.1
HiC_scaffold_345	JBGGOT010000304.1
HiC_scaffold_346	JBGGOT010000305.1
HiC_scaffold_347	JBGGOT010000306.1
HiC_scaffold_348	JBGGOT010000307.1
HiC_scaffold_349	JBGGOT010000308.1
HiC_scaffold_350	JBGGOT010000309.1
HiC_scaffold_351	JBGGOT010000310.1
HiC_scaffold_352	JBGGOT010000311.1
HiC_scaffold_353	JBGGOT010000312.1
HiC_scaffold_354	JBGGOT010000313.1
HiC_scaffold_355	JBGGOT010000314.1
HiC_scaffold_356	JBGGOT010000315.1
HiC_scaffold_357	JBGGOT010000316.1
HiC_scaffold_358	JBGGOT010000317.1
HiC_scaffold_359	JBGGOT010000318.1
HiC_scaffold_360	JBGGOT010000319.1
HiC_scaffold_361	JBGGOT010000320.1
HiC_scaffold_362	JBGGOT010000321.1
HiC_scaffold_363	JBGGOT010000322.1
HiC_scaffold_364	JBGGOT010000323.1
HiC_scaffold_365	JBGGOT010000324.1
HiC_scaffold_366	JBGGOT010000325.1
HiC_scaffold_367	JBGGOT010000326.1
HiC_scaffold_368	JBGGOT010000327.1
HiC_scaffold_369	JBGGOT010000328.1
HiC_scaffold_370	JBGGOT010000329.1
HiC_scaffold_371	JBGGOT010000330.1
HiC_scaffold_372	JBGGOT010000331.1
HiC_scaffold_373	JBGGOT010000332.1
HiC_scaffold_374	JBGGOT010000333.1
HiC_scaffold_375	JBGGOT010000334.1
HiC_scaffold_376	JBGGOT010000335.1
HiC_scaffold_377	JBGGOT010000336.1
HiC_scaffold_378	JBGGOT010000337.1
HiC_scaffold_379	JBGGOT010000338.1
HiC_scaffold_380	JBGGOT010000339.1
HiC_scaffold_381	JBGGOT010000340.1
HiC_scaffold_382	JBGGOT010000341.1
HiC_scaffold_383	JBGGOT010000342.1
HiC_scaffold_384	JBGGOT010000343.1
HiC_scaffold_385	JBGGOT010000344.1
HiC_scaffold_386	JBGGOT010000345.1
HiC_scaffold_387	JBGGOT010000346.1
HiC_scaffold_388	JBGGOT010000347.1
HiC_scaffold_389	JBGGOT010000348.1
HiC_scaffold_390	JBGGOT010000349.1
HiC_scaffold_391	JBGGOT010000350.1
HiC_scaffold_392	JBGGOT010000351.1
HiC_scaffold_393	JBGGOT010000352.1
HiC_scaffold_394	JBGGOT010000353.1
HiC_scaffold_395	JBGGOT010000354.1
HiC_scaffold_396	JBGGOT010000355.1
HiC_scaffold_397	JBGGOT010000356.1
HiC_scaffold_398	JBGGOT010000357.1
HiC_scaffold_399	JBGGOT010000358.1
HiC_scaffold_400	JBGGOT010000359.1
HiC_scaffold_401	JBGGOT010000360.1
HiC_scaffold_402	JBGGOT010000361.1
HiC_scaffold_403	JBGGOT010000362.1
HiC_scaffold_404	JBGGOT010000363.1
HiC_scaffold_405	JBGGOT010000364.1
HiC_scaffold_406	JBGGOT010000365.1
HiC_scaffold_407	JBGGOT010000366.1
HiC_scaffold_408	JBGGOT010000367.1
HiC_scaffold_409	JBGGOT010000368.1
HiC_scaffold_410	JBGGOT010000369.1
HiC_scaffold_411	JBGGOT010000370.1
HiC_scaffold_412	JBGGOT010000371.1
HiC_scaffold_413	JBGGOT010000372.1
HiC_scaffold_414	JBGGOT010000373.1
HiC_scaffold_415	JBGGOT010000374.1
HiC_scaffold_416	JBGGOT010000375.1
HiC_scaffold_417	JBGGOT010000376.1
HiC_scaffold_418	JBGGOT010000377.1
HiC_scaffold_419	JBGGOT010000378.1
HiC_scaffold_420	JBGGOT010000379.1
HiC_scaffold_421	JBGGOT010000380.1
HiC_scaffold_422	JBGGOT010000381.1
HiC_scaffold_423	JBGGOT010000382.1
HiC_scaffold_424	JBGGOT010000383.1
HiC_scaffold_425	JBGGOT010000384.1
HiC_scaffold_426	JBGGOT010000385.1
HiC_scaffold_427	JBGGOT010000386.1
HiC_scaffold_428	JBGGOT010000387.1
HiC_scaffold_429	JBGGOT010000388.1
HiC_scaffold_430	JBGGOT010000389.1
HiC_scaffold_431	JBGGOT010000390.1
HiC_scaffold_432	JBGGOT010000391.1
HiC_scaffold_433	JBGGOT010000392.1
HiC_scaffold_434	JBGGOT010000393.1
HiC_scaffold_435	JBGGOT010000394.1
HiC_scaffold_436	JBGGOT010000395.1
HiC_scaffold_437	JBGGOT010000396.1
HiC_scaffold_438	JBGGOT010000397.1
HiC_scaffold_439	JBGGOT010000398.1
HiC_scaffold_440	JBGGOT010000399.1
HiC_scaffold_441	JBGGOT010000400.1
HiC_scaffold_442	JBGGOT010000401.1
HiC_scaffold_443	JBGGOT010000402.1
HiC_scaffold_444	JBGGOT010000403.1
HiC_scaffold_445	JBGGOT010000404.1
HiC_scaffold_446	JBGGOT010000405.1
HiC_scaffold_447	JBGGOT010000406.1
HiC_scaffold_448	JBGGOT010000407.1
HiC_scaffold_449	JBGGOT010000408.1
HiC_scaffold_450	JBGGOT010000409.1
HiC_scaffold_451	JBGGOT010000410.1
HiC_scaffold_452	JBGGOT010000411.1
HiC_scaffold_453	JBGGOT010000412.1
HiC_scaffold_454	JBGGOT010000413.1
HiC_scaffold_455	JBGGOT010000414.1
HiC_scaffold_456	JBGGOT010000415.1
HiC_scaffold_457	JBGGOT010000416.1
HiC_scaffold_458	JBGGOT010000417.1
HiC_scaffold_459	JBGGOT010000418.1
HiC_scaffold_460	JBGGOT010000419.1
HiC_scaffold_461	JBGGOT010000420.1
HiC_scaffold_462	JBGGOT010000421.1
HiC_scaffold_463	JBGGOT010000422.1
HiC_scaffold_464	JBGGOT010000423.1
HiC_scaffold_465	JBGGOT010000424.1
HiC_scaffold_466	JBGGOT010000425.1
HiC_scaffold_467	JBGGOT010000426.1
HiC_scaffold_468	JBGGOT010000427.1
HiC_scaffold_469	JBGGOT010000428.1
HiC_scaffold_470	JBGGOT010000429.1
HiC_scaffold_471	JBGGOT010000430.1
HiC_scaffold_472	JBGGOT010000431.1
HiC_scaffold_473	JBGGOT010000432.1
HiC_scaffold_474	JBGGOT010000433.1
HiC_scaffold_475	JBGGOT010000434.1
HiC_scaffold_476	JBGGOT010000435.1
HiC_scaffold_477	JBGGOT010000436.1
HiC_scaffold_478	JBGGOT010000437.1
HiC_scaffold_480	JBGGOT010000438.1
HiC_scaffold_481	JBGGOT010000439.1
HiC_scaffold_482	JBGGOT010000440.1
HiC_scaffold_483	JBGGOT010000441.1
HiC_scaffold_484	JBGGOT010000442.1
HiC_scaffold_485	JBGGOT010000443.1
HiC_scaffold_486	JBGGOT010000444.1
HiC_scaffold_487	JBGGOT010000445.1
HiC_scaffold_488	JBGGOT010000446.1
HiC_scaffold_489	JBGGOT010000447.1
HiC_scaffold_490	JBGGOT010000448.1
HiC_scaffold_491	JBGGOT010000449.1
HiC_scaffold_492	JBGGOT010000450.1
HiC_scaffold_493	JBGGOT010000451.1
HiC_scaffold_494	JBGGOT010000452.1
HiC_scaffold_495	JBGGOT010000453.1
HiC_scaffold_496	JBGGOT010000454.1
HiC_scaffold_497	JBGGOT010000455.1
HiC_scaffold_498	JBGGOT010000456.1
HiC_scaffold_499	JBGGOT010000457.1
HiC_scaffold_500	JBGGOT010000458.1
HiC_scaffold_501	JBGGOT010000459.1
HiC_scaffold_502	JBGGOT010000460.1
HiC_scaffold_503	JBGGOT010000461.1
HiC_scaffold_504	JBGGOT010000462.1
HiC_scaffold_505	JBGGOT010000463.1
HiC_scaffold_506	JBGGOT010000464.1
HiC_scaffold_507	JBGGOT010000465.1
HiC_scaffold_508	JBGGOT010000466.1
HiC_scaffold_509	JBGGOT010000467.1
HiC_scaffold_510	JBGGOT010000468.1
HiC_scaffold_511	JBGGOT010000469.1
HiC_scaffold_512	JBGGOT010000470.1
HiC_scaffold_513	JBGGOT010000471.1
HiC_scaffold_514	JBGGOT010000472.1
HiC_scaffold_515	JBGGOT010000473.1
HiC_scaffold_516	JBGGOT010000474.1
HiC_scaffold_517	JBGGOT010000475.1
HiC_scaffold_518	JBGGOT010000476.1
HiC_scaffold_519	JBGGOT010000477.1
HiC_scaffold_520	JBGGOT010000478.1
HiC_scaffold_521	JBGGOT010000479.1
HiC_scaffold_522	JBGGOT010000480.1
HiC_scaffold_523	JBGGOT010000481.1
HiC_scaffold_524	JBGGOT010000482.1
HiC_scaffold_525	JBGGOT010000483.1
HiC_scaffold_526	JBGGOT010000484.1
HiC_scaffold_527	JBGGOT010000485.1
HiC_scaffold_528	JBGGOT010000486.1
HiC_scaffold_529	JBGGOT010000487.1
HiC_scaffold_530	JBGGOT010000488.1
HiC_scaffold_531	JBGGOT010000489.1
HiC_scaffold_532	JBGGOT010000490.1
HiC_scaffold_533	JBGGOT010000491.1
HiC_scaffold_534	JBGGOT010000492.1
HiC_scaffold_535	JBGGOT010000493.1
HiC_scaffold_536	JBGGOT010000494.1
HiC_scaffold_537	JBGGOT010000495.1
HiC_scaffold_538	JBGGOT010000496.1
HiC_scaffold_539	JBGGOT010000497.1
HiC_scaffold_540	JBGGOT010000498.1
HiC_scaffold_541	JBGGOT010000499.1
HiC_scaffold_542	JBGGOT010000500.1
HiC_scaffold_543	JBGGOT010000501.1
HiC_scaffold_544	JBGGOT010000502.1
HiC_scaffold_545	JBGGOT010000503.1
HiC_scaffold_546	JBGGOT010000504.1
HiC_scaffold_547	JBGGOT010000505.1
HiC_scaffold_548	JBGGOT010000506.1
HiC_scaffold_549	JBGGOT010000507.1
HiC_scaffold_550	JBGGOT010000508.1
HiC_scaffold_551	JBGGOT010000509.1
HiC_scaffold_552	JBGGOT010000510.1
HiC_scaffold_553	JBGGOT010000511.1
HiC_scaffold_554	JBGGOT010000512.1
HiC_scaffold_555	JBGGOT010000513.1
HiC_scaffold_556	JBGGOT010000514.1
HiC_scaffold_557	JBGGOT010000515.1
HiC_scaffold_558	JBGGOT010000516.1
HiC_scaffold_559	JBGGOT010000517.1
HiC_scaffold_560	JBGGOT010000518.1
HiC_scaffold_561	JBGGOT010000519.1
HiC_scaffold_562	JBGGOT010000520.1
HiC_scaffold_563	JBGGOT010000521.1
HiC_scaffold_564	JBGGOT010000522.1
HiC_scaffold_565	JBGGOT010000523.1
HiC_scaffold_566	JBGGOT010000524.1
HiC_scaffold_567	JBGGOT010000525.1
HiC_scaffold_568	JBGGOT010000526.1
HiC_scaffold_569	JBGGOT010000527.1
HiC_scaffold_570	JBGGOT010000528.1
HiC_scaffold_571	JBGGOT010000529.1
HiC_scaffold_572	JBGGOT010000530.1
HiC_scaffold_573	JBGGOT010000531.1
HiC_scaffold_574	JBGGOT010000532.1
HiC_scaffold_575	JBGGOT010000533.1
HiC_scaffold_576	JBGGOT010000534.1
HiC_scaffold_577	JBGGOT010000535.1
HiC_scaffold_578	JBGGOT010000536.1
HiC_scaffold_579	JBGGOT010000537.1
HiC_scaffold_580	JBGGOT010000538.1
HiC_scaffold_581	JBGGOT010000539.1
HiC_scaffold_582	JBGGOT010000540.1
HiC_scaffold_583	JBGGOT010000541.1
HiC_scaffold_584	JBGGOT010000542.1
HiC_scaffold_585	JBGGOT010000543.1
HiC_scaffold_586	JBGGOT010000544.1
HiC_scaffold_587	JBGGOT010000545.1
HiC_scaffold_588	JBGGOT010000546.1
HiC_scaffold_589	JBGGOT010000547.1
HiC_scaffold_590	JBGGOT010000548.1
HiC_scaffold_591	JBGGOT010000549.1
HiC_scaffold_592	JBGGOT010000550.1
HiC_scaffold_593	JBGGOT010000551.1
HiC_scaffold_594	JBGGOT010000552.1
HiC_scaffold_595	JBGGOT010000553.1
HiC_scaffold_596	JBGGOT010000554.1
HiC_scaffold_597	JBGGOT010000555.1
HiC_scaffold_598	JBGGOT010000556.1
HiC_scaffold_599	JBGGOT010000557.1
HiC_scaffold_600	JBGGOT010000558.1
HiC_scaffold_601	JBGGOT010000559.1
HiC_scaffold_602	JBGGOT010000560.1
HiC_scaffold_603	JBGGOT010000561.1
HiC_scaffold_604	JBGGOT010000562.1
HiC_scaffold_605	JBGGOT010000563.1
HiC_scaffold_606	JBGGOT010000564.1
HiC_scaffold_607	JBGGOT010000565.1
HiC_scaffold_608	JBGGOT010000566.1
HiC_scaffold_609	JBGGOT010000567.1
HiC_scaffold_610	JBGGOT010000568.1
HiC_scaffold_611	JBGGOT010000569.1
HiC_scaffold_612	JBGGOT010000570.1
HiC_scaffold_613	JBGGOT010000571.1
HiC_scaffold_614	JBGGOT010000572.1
HiC_scaffold_615	JBGGOT010000573.1
HiC_scaffold_616	JBGGOT010000574.1
HiC_scaffold_617	JBGGOT010000575.1
HiC_scaffold_618	JBGGOT010000576.1
HiC_scaffold_619	JBGGOT010000577.1
HiC_scaffold_620	JBGGOT010000578.1
HiC_scaffold_621	JBGGOT010000579.1
HiC_scaffold_622	JBGGOT010000580.1
HiC_scaffold_623	JBGGOT010000581.1
HiC_scaffold_624	JBGGOT010000582.1
HiC_scaffold_625	JBGGOT010000583.1
HiC_scaffold_626	JBGGOT010000584.1
HiC_scaffold_627	JBGGOT010000585.1
HiC_scaffold_628	JBGGOT010000586.1
HiC_scaffold_629	JBGGOT010000587.1
HiC_scaffold_630	JBGGOT010000588.1
HiC_scaffold_631	JBGGOT010000589.1
HiC_scaffold_632	JBGGOT010000590.1
HiC_scaffold_633	JBGGOT010000591.1
HiC_scaffold_634	JBGGOT010000592.1
HiC_scaffold_635	JBGGOT010000593.1
HiC_scaffold_636	JBGGOT010000594.1
HiC_scaffold_637	JBGGOT010000595.1
HiC_scaffold_638	JBGGOT010000596.1
HiC_scaffold_639	JBGGOT010000597.1
HiC_scaffold_640	JBGGOT010000598.1
HiC_scaffold_641	JBGGOT010000599.1
HiC_scaffold_642	JBGGOT010000600.1
HiC_scaffold_643	JBGGOT010000601.1
HiC_scaffold_644	JBGGOT010000602.1
HiC_scaffold_645	JBGGOT010000603.1
HiC_scaffold_646	JBGGOT010000604.1
HiC_scaffold_647	JBGGOT010000605.1
HiC_scaffold_648	JBGGOT010000606.1
HiC_scaffold_649	JBGGOT010000607.1
HiC_scaffold_650	JBGGOT010000608.1
HiC_scaffold_651	JBGGOT010000609.1
HiC_scaffold_652	JBGGOT010000610.1
HiC_scaffold_653	JBGGOT010000611.1
HiC_scaffold_654	JBGGOT010000612.1
HiC_scaffold_655	JBGGOT010000613.1
HiC_scaffold_656	JBGGOT010000614.1
HiC_scaffold_657	JBGGOT010000615.1
HiC_scaffold_658	JBGGOT010000616.1
HiC_scaffold_659	JBGGOT010000617.1
HiC_scaffold_660	JBGGOT010000618.1
HiC_scaffold_661	JBGGOT010000619.1
HiC_scaffold_662	JBGGOT010000620.1
HiC_scaffold_663	JBGGOT010000621.1
HiC_scaffold_664	JBGGOT010000622.1
